Team,Conf,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W15,Notes
Georgia State,Sun Belt,,vs North Carolina A&T,@ Kennesaw State,@ UCF,vs Northern Illinois,vs Old Dominion,,@ James Madison,@ Arkansas State,vs Coastal Carolina,@ Appalachian State,vs Georgia Southern,@ Marshall,vs UL Lafayette,,
James Madison,Sun Belt,,vs Liberty,vs Wagner,@ San Diego State,@ Old Dominion,vs Marshall,@ Georgia Southern,vs Georgia State,@ Appalachian State,vs Troy,@ Southern Mississippi,@ UConn,,vs Coastal Carolina,,
UL Lafayette,Sun Belt,,vs Lamar,@ USC,vs UAB,@ Charlotte,vs Arkansas State,@ Louisiana Tech,vs Troy,@ Southern Mississippi,,vs South Alabama,@ UL Monroe,vs Coastal Carolina,@ Georgia State,,
Louisiana Tech,Sun Belt,,vs Northwestern State,@ LSU,@ Baylor,,vs Army,vs UL Lafayette,@ UL Monroe,vs Old Dominion,@ South Alabama,@ Troy,vs Southern Mississippi,vs Arkansas State,@ Georgia Southern,,
Marshall,Sun Belt,,@ Penn State,vs Middle Tennessee,@ Missouri State,vs Gardner-Webb,@ James Madison,vs Coastal Carolina,,vs South Alabama,@ Old Dominion,@ Georgia Southern,vs Appalachian State,vs Georgia State,@ UL Monroe,,
Old Dominion,Sun Belt,,vs Norfolk State,@ Virginia Tech,vs East Carolina,vs James Madison,@ Georgia State,@ Appalachian State,vs Georgia Southern,@ Louisiana Tech,vs Marshall,@ Coastal Carolina,,@ UConn,vs Southern Mississippi,,
South Alabama,Sun Belt,,vs SE Louisiana,@ Tulane,vs Ohio,@ Kentucky,vs UL Monroe,@ Arkansas State,,@ Marshall,vs Louisiana Tech,@ UL Lafayette,vs Troy,@ Southern Mississippi,vs Appalachian State,,
Southern Mississippi,Sun Belt,,vs Alcorn State,@ Auburn,vs UConn,@ Tulane,,@ Troy,vs Arkansas State,vs UL Lafayette,@ UL Monroe,vs James Madison,@ Louisiana Tech,vs South Alabama,@ Old Dominion,,
Troy,Sun Belt,,vs Sam Houston,vs Alabama State,@ Missouri,@ Utah State,,vs Southern Mississippi,@ UL Lafayette,vs UL Monroe,@ James Madison,vs Louisiana Tech,@ South Alabama,vs Georgia Southern,@ Arkansas State,,
UL Monroe,Sun Belt,,@ Mississippi State,@ UAB,vs SE Louisiana,vs Florida Atlantic,@ South Alabama,,vs Louisiana Tech,@ Troy,vs Southern Mississippi,@ Arkansas State,vs UL Lafayette,@ Appalachian State,vs Marshall,,
