Team,Conf,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W15,Notes
Arizona State,Big 12,,vs Morgan State,@ Texas A&M,@ Kansas,,vs Baylor,vs Hawaii,@ Texas Tech,vs Kansas State,@ BYU,vs Colorado,@ UCF,vs Oklahoma State,@ Arizona,,
Baylor,Big 12,,@ Auburn,vs Prairie View A&M,vs Louisiana Tech,vs Colorado,@ Arizona State,,vs TCU,@ Kansas,@ UCF,vs Iowa State,@ BYU,vs Texas Tech,@ Houston,,
BYU,Big 12,,vs Utah Tech,vs Arizona,@ Colorado State,,@ TCU,vs Iowa State,vs Notre Dame,@ UCF,vs Arizona State,@ Utah,vs Baylor,@ Kansas,vs Cincinnati,,
Cincinnati,Big 12,,vs Boston College,vs Western Carolina,vs Miami-OH,vs Kansas State,@ Arizona,,@ West Virginia,vs Texas Tech,vs Utah,@ Houston,@ Iowa State,vs Colorado,@ BYU,,
Colorado,Big 12,,@ Georgia Tech,vs Weber State,@ Northwestern,@ Baylor,vs Texas Tech,,vs Utah,@ Oklahoma State,vs Kansas State,@ Arizona State,vs Houston,@ Cincinnati,vs UCF,,
Houston,Big 12,,vs Oregon State,vs Southern,@ Texas Tech,@ Georgia Southern,vs UCF,@ Kansas State,vs Oklahoma State,@ Utah,,vs Cincinnati,@ Colorado,@ West Virginia,vs Baylor,,
Iowa State,Big 12,,vs Southeast Missouri State,@ Iowa,vs Bowling Green,vs Utah,vs West Virginia,@ BYU,,@ Arizona,vs Oklahoma State,@ Baylor,vs Cincinnati,@ UCF,vs Kansas State,,
Kansas,Big 12,,vs Long Island University,vs Missouri,vs Arizona State,,vs Middle Tennessee,@ Utah,@ Kansas State,vs Baylor,@ TCU,vs UCF,@ West Virginia,vs BYU,@ Oklahoma State,,
Kansas State,Big 12,,vs Nicholls,vs Washington State,vs Tulane,@ Cincinnati,,vs Houston,vs Kansas,@ Arizona State,@ Colorado,vs Oklahoma State,@ TCU,vs Arizona,@ Iowa State,,
TCU,Big 12,vs North Carolina,,vs Grambling,vs Arkansas State,@ UCF,vs BYU,,@ Baylor,vs West Virginia,vs Kansas,@ Arizona,vs Kansas State,vs Utah,@ Texas Tech,,
Texas Tech,Big 12,,vs Abilene Christian,@ Oregon State,vs Houston,vs Sam Houston,@ Colorado,,vs Arizona State,@ Cincinnati,vs Arizona,vs West Virginia,@ Oklahoma State,@ Baylor,vs TCU,,
UCF,Big 12,,vs Bethune-Cookman,@ Pittsburgh,vs Georgia State,vs TCU,@ Houston,@ Oklahoma State,,vs BYU,vs Baylor,@ Kansas,vs Arizona State,vs Iowa State,@ Colorado,,
Utah,Big 12,,vs Idaho,vs Arkansas,vs Utah State,@ Iowa State,,vs Kansas,@ Colorado,vs Houston,@ Cincinnati,vs BYU,@ Arizona,@ TCU,vs West Virginia,,
West Virginia,Big 12,,vs Coastal Carolina,vs UT Martin,@ Virginia,vs Oklahoma State,@ Iowa State,vs Arizona,vs Cincinnati,@ TCU,,@ Texas Tech,vs Kansas,vs Houston,@ Utah,,
Illinois,Big Ten,,vs UAB,vs Duke,vs Southern Illinois,@ Ohio State,vs Purdue,@ Michigan State,,vs Oregon,@ Maryland,vs Nebraska,@ UCLA,vs Iowa,@ Northwestern,,
Indiana,Big Ten,,vs North Texas,vs Howard,vs Western Kentucky,vs Northwestern,@ Rutgers,@ Nebraska,vs Ohio State,@ Michigan,vs Minnesota,,vs USC,@ Washington,vs Purdue,,
Iowa,Big Ten,,vs Northern Illinois,vs Iowa State,vs Northern Iowa,@ Michigan,vs Ohio State,@ Washington,,@ Minnesota,vs Wisconsin,@ Northwestern,vs Purdue,@ Illinois,vs Nebraska,,
Maryland,Big Ten,,vs Hampton,@ UConn,vs Virginia Tech,vs UCLA,@ Nebraska,@ Ohio State,vs Rutgers,,vs Illinois,@ Purdue,vs Wisconsin,@ USC,vs Penn State,,
Michigan,Big Ten,,vs Western Michigan,vs Oklahoma,vs UTEP,vs Iowa,@ Minnesota,,vs Penn State,vs Indiana,@ Rutgers,vs Michigan State,@ Oregon,vs UCLA,@ Ohio State,,
Minnesota,Big Ten,,vs Eastern Illinois,vs Mississippi State,vs Akron,@ Washington,vs Michigan,@ Purdue,,vs Iowa,@ Indiana,vs UCLA,@ Penn State,vs Northwestern,@ Wisconsin,,
Nebraska,Big Ten,,vs Ohio,vs Bowling Green,vs North Dakota,@ Michigan State,vs Maryland,vs Indiana,@ Oregon,,vs Washington,@ Illinois,@ Rutgers,vs Ohio State,@ Iowa,,
Northwestern,Big Ten,,vs South Dakota State,,vs Colorado,@ Indiana,vs Penn State,vs Ball State,@ Michigan State,vs Rutgers,@ Oregon,vs Iowa,@ Ohio State,@ Minnesota,vs Illinois,,
Ohio State,Big Ten,,vs Ball State,@ Texas,vs Kent State,vs Illinois,@ Iowa,vs Maryland,@ Indiana,,@ USC,vs Oregon,vs Northwestern,@ Nebraska,vs Michigan,,
Oregon,Big Ten,,vs Boise State,@ Oklahoma State,vs Portland State,@ USC,,vs UCLA,vs Nebraska,@ Illinois,vs Northwestern,@ Ohio State,vs Michigan,@ Michigan State,vs Washington,,
Penn State,Big Ten,,vs Marshall,@ Temple,vs Buffalo,vs Wisconsin,@ Northwestern,vs USC,@ Michigan,,vs Purdue,@ Washington,vs Minnesota,vs Rutgers,@ Maryland,,
Rutgers,Big Ten,,vs UMASS,@ Boston College,vs USC,vs Howard,vs Indiana,,@ Maryland,@ Northwestern,vs Michigan,@ Wisconsin,vs Nebraska,@ Penn State,vs Michigan State,,
UCLA,Big Ten,,@ California,vs San Diego State,vs Purdue,@ Maryland,,@ Oregon,vs Wisconsin,vs Michigan State,vs Nevada,@ Minnesota,vs Illinois,@ Michigan,vs USC,,
USC,Big Ten,vs San José State,vs Fresno State,vs UL Lafayette,@ Rutgers,vs Oregon,vs Washington,@ Penn State,,@ Wisconsin,vs Ohio State,,@ Indiana,vs Maryland,@ UCLA,,
Washington,Big Ten,,vs Washington State,vs Utah State,vs Eastern Washington,vs Minnesota,@ USC,vs Iowa,@ Purdue,,@ Nebraska,vs Penn State,@ Michigan State,vs Indiana,@ Oregon,,
Wisconsin,Big Ten,,@ Notre Dame,vs Western Illinois,vs EMU,@ Penn State,vs Michigan State,,@ UCLA,vs USC,@ Iowa,vs Rutgers,@ Maryland,@ Purdue,vs Minnesota,,
Delaware,CUSA,,vs Merrimack,@ Vanderbilt,vs Coastal Carolina,@ Virginia,vs Liberty,,@ Middle Tennessee,vs Missouri State,@ Western Kentucky,@ Kennesaw State,vs Florida Intl,@ New Mexico State,vs Jacksonville State,,
Florida Intl,CUSA,,@ South Florida,vs Buffalo,@ Florida Atlantic,vs Long Island University,,vs New Mexico State,@ Jacksonville State,vs Middle Tennessee,@ Liberty,vs Missouri State,@ Delaware,@ Kennesaw State,vs Sam Houston,,
Jacksonville State,CUSA,@ North Dakota State,vs Eastern Kentucky,@ Ohio,vs Georgia Southern,vs Middle Tennessee,,@ Kennesaw State,vs Florida Intl,,@ New Mexico State,vs Sam Houston,@ Western Kentucky,vs Missouri State,@ Delaware,,
Kennesaw State,CUSA,,vs West Georgia,vs Georgia State,@ Tennessee,@ Arkansas State,,vs Jacksonville State,@ Missouri State,vs Liberty,@ Middle Tennessee,vs Delaware,@ Sam Houston,vs Florida Intl,@ Western Kentucky,,
Liberty,CUSA,,@ James Madison,vs Gardner-Webb,vs Ball State,@ Coastal Carolina,@ Delaware,vs Sam Houston,,@ Kennesaw State,vs Florida Intl,@ New Mexico State,vs Middle Tennessee,vs Western Kentucky,@ Missouri State,,
Middle Tennessee,CUSA,,vs Murray State,@ Marshall,vs Nevada,@ Jacksonville State,@ Kansas,,vs Delaware,@ Florida Intl,vs Kennesaw State,vs Western Kentucky,@ Liberty,@ Sam Houston,vs New Mexico State,,
Missouri State,CUSA,,@ Texas A&M,vs Lindenwood,vs Marshall,@ SMU,,@ Western Kentucky,vs Kennesaw State,@ Delaware,vs Sam Houston,@ Florida Intl,vs New Mexico State,@ Jacksonville State,vs Liberty,,
New Mexico State,CUSA,@ Florida State,vs Mercyhurst,@ Hawaii,,vs New Mexico,vs Western Kentucky,@ Florida Intl,,@ Sam Houston,vs Jacksonville State,vs Liberty,@ Missouri State,vs Delaware,@ Middle Tennessee,,
Notre Dame,CUSA,,vs Wisconsin,vs Rice,vs Michigan State,@ Purdue,@ North Carolina,vs Stanford,@ BYU,,@ Navy,vs Miami,vs Boston College,vs SMU,@ Syracuse,,
Sam Houston,CUSA,,@ Troy,vs Tulsa,vs Nicholls,@ Texas Tech,,@ Liberty,vs Western Kentucky,vs New Mexico State,@ Missouri State,@ Jacksonville State,vs Kennesaw State,vs Middle Tennessee,@ Florida Intl,,
UConn,CUSA,,vs Lafayette,vs Maryland,@ Southern Mississippi,@ Miami-OH,vs Syracuse,@ Temple,,vs UMASS,@ Air Force,vs North Carolina,vs James Madison,vs Old Dominion,@ Wyoming,,
Western Kentucky,CUSA,,@ Nevada,@ Georgia,@ Indiana,vs Mercyhurst,@ New Mexico State,vs Missouri State,@ Sam Houston,,vs Delaware,@ Middle Tennessee,vs Jacksonville State,@ Liberty,vs Kennesaw State,,
Akron,MAC,,@ Wake Forest,vs Robert Morris,@ Minnesota,vs UNLV,@ Central Michigan,vs EMU,@ Miami-OH,@ Kent State,,vs Ohio,vs Western Michigan,@ UMASS,vs Buffalo,,
Ball State,MAC,,@ Ohio State,vs Stony Brook,@ Liberty,@ Kent State,vs Toledo,@ Northwestern,@ Bowling Green,vs Sacramento State,,@ UMASS,vs Buffalo,@ Ohio,vs Central Michigan,,
Bowling Green,MAC,,vs Tarleton State,@ Nebraska,@ Iowa State,vs South Florida,@ Miami-OH,vs Sacramento State,vs Ball State,@ Buffalo,@ Western Michigan,,vs Kent State,@ Toledo,vs UMASS,,
Buffalo,MAC,,vs UAlbany,@ Florida Intl,@ Penn State,vs Robert Morris,vs Western Michigan,@ Toledo,vs UMASS,vs Bowling Green,,@ Miami-OH,@ Ball State,vs Central Michigan,@ Akron,,
Central Michigan,MAC,,@ New Mexico,vs Colgate,vs Wyoming,@ Miami,vs Akron,@ Ohio,vs Western Michigan,vs Miami-OH,,@ EMU,vs Sacramento State,@ Buffalo,@ Ball State,,
EMU,MAC,vs Sacramento State,vs San José State,@ Michigan State,@ Wisconsin,vs Lindenwood,@ UMASS,@ Akron,vs Toledo,@ Ohio,,vs Central Michigan,,@ Western Michigan,vs Kent State,,
Kent State,MAC,,@ South Carolina,vs Wofford,@ Ohio State,vs Ball State,vs Ohio,@ Western Michigan,@ South Florida,vs Akron,@ Sacramento State,,@ Bowling Green,vs Miami-OH,@ EMU,,
Miami-OH,MAC,,@ Pittsburgh,vs Holy Cross,@ Cincinnati,vs UConn,vs Bowling Green,@ UMASS,vs Akron,@ Central Michigan,,vs Buffalo,vs Ohio,@ Kent State,@ Western Michigan,,
Ohio,MAC,,@ Nebraska,vs Jacksonville State,@ South Alabama,vs Stonehill,@ Kent State,vs Central Michigan,@ Sacramento State,vs EMU,,@ Akron,@ Miami-OH,vs Ball State,vs Toledo,,
Sacramento State,MAC,@ EMU,vs Mississippi Valley State,@ Fresno State,vs North Dakota State,vs UMASS,,@ Bowling Green,vs Ohio,@ Ball State,vs Kent State,vs Toledo,@ Central Michigan,,@ Hawaii,,
Toledo,MAC,,@ Michigan State,vs Central Connecticut,vs Temple,vs San Diego State,@ Ball State,vs Buffalo,@ EMU,vs Western Michigan,,@ Sacramento State,vs UMASS,vs Bowling Green,@ Ohio,,
UMASS,MAC,,@ Rutgers,vs Sacred Heart,vs Stonehill,@ Sacramento State,vs EMU,vs Miami-OH,@ Buffalo,@ UConn,,vs Ball State,@ Toledo,vs Akron,@ Bowling Green,,
Western Michigan,MAC,,@ Michigan,vs Monmouth,@ Rice,vs Boise State,@ Buffalo,vs Kent State,@ Central Michigan,@ Toledo,vs Bowling Green,,@ Akron,vs EMU,vs Miami-OH,,
Air Force,MWC,,vs Duquesne,vs North Dakota State,,@ Nevada,vs Navy,@ Northern Illinois,vs UNLV,@ Wyoming,vs UConn,@ Army,vs San José State,vs UTEP,@ New Mexico,,
Boston College,MWC,,@ Cincinnati,vs Rutgers,vs Maine,vs Virginia Tech,@ SMU,,vs Pittsburgh,@ Georgia Tech,@ Duke,vs Florida State,@ Notre Dame,vs Syracuse,@ Miami,,
Hawaii,MWC,@ Stanford,vs UNLV,vs New Mexico State,,@ Wyoming,vs San José State,@ Arizona State,vs New Mexico,@ Northern Illinois,,@ UTEP,vs North Dakota State,@ Nevada,vs Sacramento State,,
Nevada,MWC,,vs Western Kentucky,vs Montana State,@ Middle Tennessee,vs Air Force,,@ UTEP,@ North Dakota State,vs San José State,@ UCLA,vs New Mexico,@ Northern Illinois,vs Hawaii,@ UNLV,,
New Mexico,MWC,,vs Central Michigan,vs Mercyhurst,@ Oklahoma,@ New Mexico State,vs UTEP,,@ Hawaii,vs North Dakota State,@ San José State,@ Nevada,vs UNLV,@ Wyoming,vs Air Force,,
North Dakota State,MWC,vs Jacksonville State,vs Fordham,@ Air Force,@ Sacramento State,,vs Wyoming,@ UNLV,vs Nevada,@ New Mexico,vs UTEP,,@ Hawaii,vs Northern Illinois,@ San José State,,
Northern Illinois,MWC,,@ Iowa,vs Illinois State,@ Arizona,@ Georgia State,,vs Air Force,@ Wyoming,vs Hawaii,@ UNLV,@ San José State,vs Nevada,@ North Dakota State,vs UTEP,,
San José State,MWC,@ USC,@ EMU,vs Cal Poly,vs Fresno State,,@ Hawaii,vs Wyoming,@ UTEP,@ Nevada,vs New Mexico,vs Northern Illinois,@ Air Force,vs UNLV,vs North Dakota State,,W13 is Hawaii-rule 13th game
Syracuse,MWC,,vs New Hampshire,vs California,@ Pittsburgh,,@ UConn,@ Virginia,vs Louisville,@ North Carolina,vs SMU,vs Clemson,@ NC State,@ Boston College,vs Notre Dame,,
UNLV,MWC,vs Memphis,@ Hawaii,@ North Texas,,@ Akron,vs California,vs North Dakota State,@ Air Force,,vs Northern Illinois,vs Wyoming,@ New Mexico,@ San José State,vs Nevada,,
UTEP,MWC,,@ Oklahoma,vs Texas Southern,@ Michigan,vs Oregon State,@ New Mexico,vs Nevada,vs San José State,,@ North Dakota State,vs Hawaii,vs Wyoming,@ Air Force,@ Northern Illinois,,
Wyoming,MWC,,@ Colorado State,vs Northern Colorado,@ Central Michigan,vs Hawaii,@ North Dakota State,@ San José State,vs Northern Illinois,vs Air Force,,@ UNLV,@ UTEP,vs New Mexico,vs UConn,,
Arkansas,Pac12,,vs North Alabama,@ Utah,vs Georgia,vs Tulsa,@ Texas A&M,vs Tennessee,@ Vanderbilt,,vs Missouri,@ Auburn,vs South Carolina,@ Texas,vs LSU,,
Boise State,Pac12,,@ Oregon,vs Memphis,vs South Dakota,@ Western Michigan,vs Utah State,@ Fresno State,,@ Washington State,vs Texas State,@ Colorado State,vs Oregon State,vs San Diego State,,,Pac-12 Wk13 flex TBD (=13 games)
Colorado State,Pac12,,vs Wyoming,vs Southern Utah,vs BYU,@ UTSA,vs Oregon State,,@ Texas State,vs San Diego State,@ Utah State,vs Boise State,@ Washington State,@ Fresno State,vs TBD,,
Fresno State,Pac12,,@ USC,vs Sacramento State,@ San José State,vs Rice,@ Washington State,vs Boise State,@ San Diego State,,vs Oregon State,@ Utah State,@ Texas State,vs Colorado State,vs TBD,,
Michigan State,Pac12,,vs Toledo,vs EMU,@ Notre Dame,vs Nebraska,@ Wisconsin,vs Illinois,vs Northwestern,@ UCLA,,@ Michigan,vs Washington,vs Oregon,@ Rutgers,,
Oklahoma State,Pac12,,@ Tulsa,vs Oregon,vs Murray State,@ West Virginia,,vs UCF,@ Houston,vs Colorado,@ Iowa State,@ Kansas State,vs Texas Tech,@ Arizona State,vs Kansas,,
Oregon State,Pac12,,@ Houston,vs Texas Tech,vs Montana,@ UTEP,@ Colorado State,vs San Diego State,vs Washington State,,@ Fresno State,vs Texas State,@ Boise State,vs Utah State,,,Pac-12 Wk13 flex TBD (=13 games)
Purdue,Pac12,,vs Indiana State,vs Wake Forest,@ UCLA,vs Notre Dame,@ Illinois,vs Minnesota,vs Washington,,@ Penn State,vs Maryland,@ Iowa,vs Wisconsin,@ Indiana,,
San Diego State,Pac12,,vs Portland State,@ UCLA,vs James Madison,@ Toledo,vs Texas State,@ Oregon State,vs Fresno State,@ Colorado State,vs Washington State,,vs Utah State,@ Boise State,,,Pac-12 Wk13 flex TBD (=13 games)
