Team	Mkt O/U	SP+ Rk	SP+ Rtg	RetProd%	Ret Off%	Ret Def%	TARP net	TARP off	TARP def	Collin Proj	Proj−Mkt	6-Win%	SOS Rk
Tulane	7.5	87	-5.5	40	28	52	-4.5	-4.0	-0.5				
Old Dominion	7.5	88	-5.8	40	23	58	-3.5	-6.0	2.5	7.4	-0.1		
Texas State	6.5	89	-5.9	56	70	43	2.0	2.5	-0.5	7.5	1.0		
Troy	6.5	90	-6.0	39	47	32	-4.0	-0.5	-3.5	7.4	0.9		
Oregon State	4.5	91	-6.3	47	49	44	-1.0	-2.0	1.0	3.8	-0.7		
Marshall	7.5	92	-6.4	48	61	36	-0.5	1.5	-2.0	7.6	0.1		
Liberty	8.5	93	-6.4	57	64	50	1.0	1.0	0.0				
Florida Atlantic	5.5	94	-7.1	64	62	65	6.0	3.0	3.0				
Western Michigan	7.5	95	-7.2	51	60	42	-1.5	1.0	-2.5				
Tulsa	5.5	96	-7.6	62	64	60	2.5	0.5	2.0				
Utah State	4.5	97	-7.7	48	40	55	-3.5	-3.0	-0.5	4.5	0.0		
Jacksonville State	7.5	98	-7.7	57	60	54	3.0	1.5	1.5				
Colorado State	3.5	99	-8.3	46	38	54	3.5	3.5	0.0	2.8	-0.7		
Louisiana Tech	5.5	100	-8.3	56	64	48	6.0	4.5	1.5	5.0	-0.5		
Arkansas State	6.5	101	-8.5	49	52	45	1.5	3.5	-2.0	6.5	0.0		
Temple	5.5	102	-8.7	53	62	43	-1.0	-0.5	-0.5				
Georgia Southern	4.5	103	-8.9	43	23	62	-4.5	-5.5	1.0	4.2	-0.3		
UL Lafayette	7.5	104	-9.1	49	63	35	1.5	3.5	-2.0	8.0	0.5		
Kennesaw State	6.5	105	-9.3	49	42	55	-4.0	-3.0	-1.0				
Wyoming	5.5	106	-9.6	40	43	36	-3.0	0.0	-3.0				
UConn	5.5	107	-11.2	31	25	37	-9.5	-6.0	-3.5				
Toledo	7.5	108	-11.5	33	42	25	-9.0	-4.5	-4.5				
North Texas	5.5	109	-11.8	32	28	35	-8.0	-5.0	-3.0				
Buffalo	5.5	110	-11.9	30	26	33	-7.5	-6.0	-1.5				
Appalachian State	5.5	111	-12.1	34	30	39	-3.0	-3.0	0.0	5.0	-0.5		
Nevada	4.5	112	-12.2	48	57	39	-3.0	-3.0	0.0				
Central Michigan	6.5	113	-12.4	46	62	29	0.5	3.0	-2.5				
